TC ID,Test Type,Test Case Name,Test case Description,Test steps,Expected Result,Status,Component,User Story,Priority,Scenario Type
1,Manual,"TC01_EmailSetup_ValidEmail","Verify system ingests email and creates work item","1. Send email from CAZ_Claims_UAT_FNOL with policy number and date of loss","1. Work item is created in COSMOS DB and FNOL portal with correct fields","Not Started",Middle Market,CCI-101,High,Positive
2,Manual,"TC02_EmailSetup_MissingPolicy","Verify system handles email missing policy number","1. Send email from CAZ_Claims_UAT_FNOL without policy number","1. Work item is created in Unmatched status for manual review","Not Started",Middle Market,CCI-101,High,Negative
3,Manual,"TC03_WorkItemCreation_FieldsPopulated","Verify work item fields extracted from email are populated","1. Send valid email with subject, policy no, date of loss, attachments","1. Work item shows sender, urgent flag, subject, date/time, policy no, date of loss","Not Started",Middle Market,CCI-101,High,Positive
4,Manual,"TC04_WorkItemCreation_UrgentFlagMissing","Verify behavior when urgent flag is not present in email","1. Send email without urgent flag header","1. Work item created with default non-urgent state and note for manual check","Not Started",Middle Market,CCI-101,Medium,Negative
5,Manual,"TC05_CaseStatus_ToDoUnassigned","Verify new work item status is To do and Unassigned","1. Send valid email to create work item","1. Work item status = To do and assignee = Unassigned","Not Started",Middle Market,CCI-101,High,Positive
6,Manual,"TC06_StartAClaim_AssignToMe","Validate ""Start a Claim"" button and Assign to me dropdown","1. Select work item, click Assign to me, then click Start a Claim","1. Work item becomes assigned to user and claim start flow initiates","Not Started",Middle Market,CCI-101,High,Positive
7,Manual,"TC07_PolicySearch_Extraction","Verify policy number, loss date and attachments are extracted and shown","1. Open policy search screen for extracted work item","1. Policy number, date of loss and attachments are displayed and attachments downloadable","Not Started",Middle Market,CCI-101,High,Positive
8,Manual,"TC08_AttachmentDownload","Verify attachments from email can be downloaded from work item","1. Select attachment on extracted email preview and attempt download","1. Attachment downloads successfully and is readable","Not Started",Middle Market,CCI-101,High,Positive
9,Manual,"TC09_GeneralLiability_LOBSearch","Search a General Liability policy after starting claim","1. Login, assign work item, start a claim, search General Liability policy","1. Matching General Liability policy result appears","Not Started",Middle Market,CCI-101,Medium,Positive
10,Manual,"TC10_Property_LOBSearch","Search a Property policy after starting claim","1. Login, assign work item, start a claim, search Property policy","1. Matching Property policy result appears","Not Started",Middle Market,CCI-101,Medium,Positive
11,Manual,"TC11_FinancialLines_LOBSearch","Search a Financial Lines policy after starting claim","1. Login, assign work item, start a claim, search Financial Lines policy","1. Matching Financial Lines policy result appears","Not Started",Middle Market,CCI-101,Medium,Positive
12,Manual,"TC12_InlandMarine_LOBSearch","Search an Inland Marine policy after starting claim","1. Login, assign work item, start a claim, search Inland Marine policy","1. Matching Inland Marine policy result appears","Not Started",Middle Market,CCI-101,Medium,Positive
13,Manual,"TC13_Umbrella_LOBSearch","Search an Umbrella policy after starting claim","1. Login, assign work item, start a claim, search Umbrella policy","1. Matching Umbrella policy result appears","Not Started",Middle Market,CCI-101,Medium,Positive
14,Manual,"TC14_ContingentLessor_LOBSearch","Search a Contigent Lessor policy after starting claim","1. Login, assign work item, start a claim, search Contigent Lessor policy","1. Matching Contigent Lessor policy result appears","Not Started",Middle Market,CCI-101,Medium,Positive
15,Manual,"TC15_ExcessAuto_LOBSearch","Search an Excess Auto policy after starting claim","1. Login, assign work item, start a claim, search Excess Auto policy","1. Matching Excess Auto policy result appears","Not Started",Middle Market,CCI-101,Medium,Positive
16,Manual,"TC16_Unmatched_AssignAction","Verify assigning an unmatched work item moves it to Assigned tab","1. Navigate to Unmatched screen and assign a work item","1. Work item appears in Assigned tab under the assigned user","Not Started",Middle Market,CCI-101,High,Positive
17,Manual,"TC17_Unmatched_TerminateAction","Verify terminating an unmatched work item moves it to Processed tab","1. Navigate to Unmatched screen and terminate a work item","1. Work item appears in Processed tab and is no longer actionable","Not Started",Middle Market,CCI-101,High,Positive
18,Manual,"TC18_Unmatched_MergeAction","Verify merging an unmatched work item consolidates with existing work item","1. Select two related work items and perform merge","1. Work items are consolidated and appear under the appropriate tabs","Not Started",Middle Market,CCI-101,High,Positive
19,Manual,"TC19_WorkItemCardUI_DisplayAndColorCoding","Validate work item card UI, tabs and color coding","1. Open FNOL portal and view Unassigned, Assigned, Processed, Unmatched tabs","1. Cards display under correct tabs with expected colors and spacing","Not Started",Middle Market,CCI-101,Medium,Positive
20,Manual,"TC20_StatusUpdate_OnCardMove","Verify status updates when moving cards between tabs","1. Move an Unassigned card to Assigned tab via UI interaction","1. Card status updates to Assigned and appears under Assigned tab","Not Started",Middle Market,CCI-101,High,Positive
